#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20
#   TIMESTEP                     TIME                     MASS                     XMOM                     YMOM                     ZMOM              ANG. MOM. X              ANG. MOM. Y              ANG. MOM. Z              KIN. ENERGY              INT. ENERGY               GAS ENERGY     CENTER OF MASS X-LOC     CENTER OF MASS Y-LOC     CENTER OF MASS Z-LOC     CENTER OF MASS X-VEL     CENTER OF MASS Y-VEL     CENTER OF MASS Z-VEL      MAXIMUM TEMPERATURE          MAXIMUM DENSITY
           0   0.0000000000000000e+00   2.2664706040058195e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00   2.4510923968853865e+02   2.4510923968853865e+02   3.9991278648376295e-02   6.0000000000000088e-02   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00   5.2914928382137800e+06   1.6700000000000001e-06
           1   2.4486929824144567e-13   2.2664706040058195e-09   1.0767377140421028e-07  -4.5234376835887785e-12   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -6.4859513802154581e-09   2.0106878963870173e-02   2.4508913280957768e+02   2.4510923968854172e+02   3.9991278694706457e-02   6.0000000000107502e-02   0.0000000000000000e+00   4.7507243735658797e+01  -1.9958069059417475e-03   0.0000000000000000e+00   5.2752091390629727e+06   1.6845522007524325e-06
           2   5.1422552630703590e-13   2.2664706040058195e-09   2.2610266346151984e-07  -1.0299236770271594e-11   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.3619984649305990e-08   9.0208220915849027e-02   2.4501903146762129e+02   2.4510923968854024e+02   3.9991278748741158e-02   6.0000000000224672e-02   0.0000000000000000e+00   9.9759804103304973e+01  -4.5441739910804281e-03   0.0000000000000000e+00   5.2568416465442702e+06   1.6994138308564102e-06
           3   8.1051737717918517e-13   2.2664706040058195e-09   3.5516271960933743e-07  -1.7666617664400723e-11   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.1394454586953362e-08   2.2212611643307187e-01   2.4488711357210497e+02   2.4510923968853814e+02   3.9991278824730594e-02   6.0000000000351959e-02   0.0000000000000000e+00   1.5670298965343451e+02  -7.7947702622642801e-03   0.0000000000000000e+00   5.2339416519320309e+06   1.7143300885129690e-06
           4   1.1364384131385493e-12   2.2664706040058195e-09   4.9556294032036564e-07  -2.7050033956268680e-11   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.9852061107082485e-08   4.2906125123280958e-01   2.4468017843730786e+02   2.4510923968853922e+02   3.9991278928017175e-02   6.0000000000489710e-02   0.0000000000000000e+00   2.1864962177073673e+02  -1.1934870855355344e-02   0.0000000000000000e+00   5.2056564550731489e+06   1.7292257245614569e-06
           5   1.4949515526938501e-12   2.2664706040058195e-09   6.4798419690926439e-07  -3.8979289979156491e-11   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.9033796888239987e-08   7.2552853422080743e-01   2.4438371115431988e+02   2.4510923968853945e+02   3.9991279065027648e-02   6.0000000000638085e-02   0.0000000000000000e+00   2.8590011084370570e+02  -1.7198233195817089e-02   0.0000000000000000e+00   5.1710293404513756e+06   1.7465577350113316e-06
           6   1.8893160062046810e-12   2.2664706040058195e-09   8.1305719496034620e-07  -5.4111534840729257e-11   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.8977617339039049e-08   1.1270990581365115e+00   2.4398214063040507e+02   2.4510923968854073e+02   3.9992323516814400e-02   6.0000000000796694e-02   0.0000000000000000e+00   3.5873273340643715e+02  -2.3874801087246007e-02   0.0000000000000000e+00   5.1290140197407659e+06   1.7646496011059571e-06
           7   2.3231169050665949e-12   2.2664706040058195e-09   9.9133473672178785e-07  -7.3255962305497093e-11   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.9716764254770340e-08   1.6499874787508839e+00   2.4345925220978839e+02   2.4510923968854030e+02   3.9992323745774890e-02   6.0000000000964372e-02   0.0000000000000000e+00   4.3739139390101809e+02  -3.2321602660993085e-02   0.0000000000000000e+00   5.0784946321203811e+06   1.7832334474649980e-06
           8   2.8002978938147001e-12   2.2664706040058191e-09   1.1832580786038125e-06  -9.7400581810298477e-11   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -7.1277732919255296e-08   2.3105175925963173e+00   2.4279872209594376e+02   2.4510923968853726e+02   3.9992324035934189e-02   6.0000000001138837e-02   0.0000000000000000e+00   5.2207078111337125e+02  -4.2974562139985469e-02   0.0000000000000000e+00   5.0183228303486304e+06   1.8019319948814054e-06
           9   3.3251969814376158e-12   2.2664706040058195e-09   1.3891187740946706e-06  -1.2773970643816304e-10   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -8.3677964293783245e-08   3.1244333545451721e+00   2.4198480633399527e+02   2.4510923968854038e+02   3.9992324399759228e-02   6.0000000001316917e-02   0.0000000000000000e+00   6.1289953270936132e+02  -5.6360627935077796e-02   0.0000000000000000e+00   4.9473611369832084e+06   1.8202417519289305e-06
          10   3.9025859778228232e-12   2.2664706040058195e-09   1.6090178738450914e-06  -1.6569950362637382e-10   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -9.6923383371383396e-08   4.1056130117746177e+00   2.4100362667677084e+02   2.4510923968854007e+02   3.9992324851994041e-02   6.0000000001493213e-02   0.0000000000000000e+00   7.0992223371495356e+02  -7.3109045991380683e-02   0.0000000000000000e+00   4.8645433250417178e+06   1.8375188781319415e-06
          11   4.5377138738465514e-12   2.2664706040058195e-09   1.8427020565966902e-06  -2.1296406194638868e-10   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.1099847859577609e-07   5.2651025036928178e+00   2.3984413718484558e+02   2.4510923968853999e+02   3.9992325414005811e-02   6.0000000001660128e-02   0.0000000000000000e+00   8.1302711508362404e+02  -9.3962860833046072e-02   0.0000000000000000e+00   4.7689514131669747e+06   1.8529733456256709e-06
          12   5.2363545594726529e-12   2.2664706040058195e-09   2.0896878620990363e-06  -2.7149334903009314e-10   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.2587378929239136e-07   6.6107110443631658e+00   2.3849852864417861e+02   2.4510923968854016e+02   3.9992326108645969e-02   6.0000000001807427e-02   0.0000000000000000e+00   9.2200086707750245e+02  -1.1978683886314197e-01   0.0000000000000000e+00   4.6599024704287751e+06   1.8708186877673408e-06
          13   6.0048593136613643e-12   2.2664706040058195e-09   2.3492888438500111e-06  -3.4353386375979658e-10   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.4150757473984449e-07   8.1453253376739472e+00   2.3696391435086844e+02   2.4510923968853973e+02   3.9992326959756096e-02   6.0000000001923029e-02   0.0000000000000000e+00   1.0365406194537959e+03  -1.5157216826577227e-01   0.0000000000000000e+00   4.5370375940618971e+06   1.8994350533967150e-06
          14   6.8502145432689474e-12   2.2664706040058195e-09   2.6205952161414430e-06  -4.3176606505715683e-10   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.5784424135903664e-07   9.8662159304116361e+00   2.3524302375812809e+02   2.4510923968854095e+02   3.9992327993485947e-02   6.0000000001987477e-02   0.0000000000000000e+00   1.1562449614434595e+03  -1.9050150674535207e-01   0.0000000000000000e+00   4.4003960141487652e+06   1.9290475829416208e-06
          15   7.7801052958372885e-12   2.2664706040058191e-09   2.9033100428802223e-06  -5.4610209120410791e-10   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.7486236182374820e-07   1.1721368379160841e+01   2.3338787130937897e+02   2.4510923968854098e+02   3.9992329270482657e-02   6.0000000001956641e-02   0.0000000000000000e+00   1.2809828804965910e+03  -2.4094823477476957e-01   0.0000000000000000e+00   4.2499493764460059e+06   1.9587806625974692e-06
          16   8.8029851236624633e-12   2.2664706040058191e-09   3.1992343540991042e-06  -6.9365510462342145e-10   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.9267274331698441e-07   1.3492973718444981e+01   2.3161626597009553e+02   2.4510923968853797e+02   3.9992330921114198e-02   6.0000000001795020e-02   0.0000000000000000e+00   1.4115490174214897e+03  -3.0605078371519018e-01   0.0000000000000000e+00   4.0851990354033797e+06   1.9876109050746713e-06
          17   9.9281529342701557e-12   2.2664706040058195e-09   3.5083958249611650e-06  -8.7573307916134329e-10   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.1127808214505365e-07   1.5150600635942940e+01   2.2995863905260003e+02   2.4510923968853788e+02   3.9992332920715475e-02   6.0000000001445841e-02   0.0000000000000000e+00   1.5479555829051276e+03  -3.8638625076961058e-01   0.0000000000000000e+00   3.9085156389597980e+06   2.0126464260700014e-06
          18   1.1165837525938618e-11   2.2664706040058195e-09   3.8311556574229170e-06  -1.0894200435759745e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.3070039798398158e-07   1.6800125696593849e+01   2.2830911399194557e+02   2.4510923968854149e+02   3.9992335250400482e-02   6.0000000001013437e-02   0.0000000000000000e+00   1.6903619445368636e+03  -4.8066806675123208e-01   0.0000000000000000e+00   3.7228029071367728e+06   2.0318098547536181e-06
          19   1.2527290576773926e-11   2.2664706040058195e-09   4.1632654048716332e-06  -1.3305345791620124e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.5068307879899852e-07   1.8589281815559751e+01   2.2651995787297824e+02   2.4510923968853882e+02   3.9992337951172727e-02   6.0000000000430508e-02   0.0000000000000000e+00   1.8368936254956798e+03  -5.8705132853273756e-01   0.0000000000000000e+00   3.5313397211183477e+06   2.0496534325879210e-06
