#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10
#   TIMESTEP                     TIME                  Mass H0                  Mass H1                  Mass N0                  Mass N1                  Mass N2                  Mass N3                  Mass N4                  Mass N5
           0   0.0000000000000000e+00   1.1395684066553829e-42   2.7800453241617099e-46   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72
           1   2.4486929824144567e-13   1.1395684066553829e-42   2.7800453241616940e-46   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72
           2   5.1422552630703590e-13   1.1395684066553829e-42   2.7800453241615578e-46   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72
           3   8.1051737717918517e-13   1.1395684066553829e-42   2.7800453241615971e-46   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72
           4   1.1364384131385493e-12   1.1395684066553829e-42   2.7800453241616975e-46   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72
           5   1.4949515526938501e-12   1.1395684066553829e-42   2.7800453241616477e-46   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72
           6   1.8893160062046810e-12   1.1395684066553829e-42   2.7800453241616461e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
           7   2.3231169050665949e-12   1.1395684066553828e-42   2.7800453241616018e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
           8   2.8002978938147001e-12   1.1395684066553831e-42   2.7800453241616967e-46   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72
           9   3.3251969814376158e-12   1.1395684066553829e-42   2.7800453241616554e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
